#t:nan-nan ; rate:nan-nan
rate: 17976 	 duration: 500 
rate: 20664 	 duration: 500 
rate: 22754 	 duration: 501 
rate: 16008 	 duration: 500 
rate: 13529 	 duration: 502 
rate: 18918 	 duration: 503 
rate: 9840 	 duration: 500 
rate: 17346 	 duration: 505 
rate: 21288 	 duration: 500 
rate: 18096 	 duration: 500 
rate: 20455 	 duration: 501 
rate: 11546 	 duration: 503 
rate: 10634 	 duration: 501 
rate: 8280 	 duration: 500 
rate: 20112 	 duration: 500 
rate: 16560 	 duration: 500 
rate: 15024 	 duration: 500 
rate: 12432 	 duration: 500 
rate: 12479 	 duration: 501 
rate: 11089 	 duration: 501 
rate: 4008 	 duration: 500 
rate: 8820 	 duration: 502 
rate: 7386 	 duration: 502 
rate: 11595 	 duration: 504 
rate: 8550 	 duration: 501 
rate: 7080 	 duration: 500 
rate: 15520 	 duration: 501 
rate: 10296 	 duration: 500 
rate: 19656 	 duration: 500 
rate: 18240 	 duration: 500 
rate: 18840 	 duration: 500 
rate: 16608 	 duration: 500 
rate: 18648 	 duration: 500 
rate: 19482 	 duration: 502 
rate: 22224 	 duration: 500 
rate: 24288 	 duration: 500 
rate: 21336 	 duration: 500 
rate: 14832 	 duration: 500 
rate: 16589 	 duration: 502 
rate: 18190 	 duration: 504 
rate: 21192 	 duration: 500 
rate: 14151 	 duration: 502 
rate: 13944 	 duration: 500 
rate: 14544 	 duration: 500 
rate: 20694 	 duration: 501 
rate: 22584 	 duration: 500 
rate: 21840 	 duration: 500 
rate: 22272 	 duration: 500 
rate: 22752 	 duration: 500 
rate: 16728 	 duration: 500 
rate: 22404 	 duration: 504 
rate: 19872 	 duration: 500 
rate: 19344 	 duration: 500 
rate: 20088 	 duration: 500 
rate: 17832 	 duration: 500 
rate: 13185 	 duration: 506 
rate: 8448 	 duration: 500 
rate: 8071 	 duration: 501 
rate: 9274 	 duration: 502 
rate: 18946 	 duration: 501 
rate: 18024 	 duration: 500 
rate: 19872 	 duration: 500 
rate: 15984 	 duration: 500 
rate: 20554 	 duration: 512 
rate: 16320 	 duration: 500 
rate: 17184 	 duration: 500 
rate: 16272 	 duration: 500 
rate: 14127 	 duration: 502 
rate: 15096 	 duration: 500 
rate: 17293 	 duration: 501 
rate: 14251 	 duration: 501 
rate: 15673 	 duration: 503 
rate: 15818 	 duration: 506 
rate: 15952 	 duration: 501 
rate: 14634 	 duration: 501 
rate: 13550 	 duration: 503 
rate: 15904 	 duration: 501 
rate: 9744 	 duration: 500 
rate: 13944 	 duration: 500 
rate: 14568 	 duration: 500 
rate: 19344 	 duration: 500 
rate: 13968 	 duration: 500 
rate: 15992 	 duration: 502 
rate: 13128 	 duration: 500 
rate: 14266 	 duration: 503 
rate: 14500 	 duration: 504 
rate: 10852 	 duration: 502 
rate: 8982 	 duration: 501 
rate: 13248 	 duration: 500 
rate: 1312 	 duration: 2268 
rate: 13816 	 duration: 502 
rate: 13029 	 duration: 501 
rate: 16248 	 duration: 500 
rate: 11400 	 duration: 500 
rate: 19200 	 duration: 500 
rate: 13464 	 duration: 500 
rate: 11424 	 duration: 500 
rate: 14347 	 duration: 501 
rate: 16311 	 duration: 501 
rate: 17380 	 duration: 504 
rate: 15072 	 duration: 500 
rate: 13248 	 duration: 500 
rate: 9370 	 duration: 502 
rate: 10728 	 duration: 500 
rate: 10309 	 duration: 504 
rate: 13772 	 duration: 501 
rate: 8136 	 duration: 500 
rate: 5077 	 duration: 501 
rate: 5330 	 duration: 502 
rate: 3065 	 duration: 501 
rate: 6960 	 duration: 500 
rate: 7608 	 duration: 500 
rate: 9960 	 duration: 500 
rate: 7305 	 duration: 501 
rate: 10344 	 duration: 500 
