#t:nan-nan ; rate:nan-nan
rate: 4104 	 duration: 500 
rate: 3456 	 duration: 500 
rate: 6610 	 duration: 501 
rate: 4921 	 duration: 512 
rate: 4694 	 duration: 501 
rate: 3089 	 duration: 501 
rate: 2729 	 duration: 510 
rate: 3164 	 duration: 512 
rate: 2385 	 duration: 503 
rate: 2130 	 duration: 507 
rate: 2592 	 duration: 500 
rate: 2769 	 duration: 507 
rate: 2380 	 duration: 504 
rate: 3053 	 duration: 503 
rate: 2637 	 duration: 505 
rate: 3203 	 duration: 502 
rate: 2610 	 duration: 501 
rate: 3216 	 duration: 500 
rate: 3352 	 duration: 519 
rate: 4756 	 duration: 502 
rate: 3111 	 duration: 509 
rate: 3201 	 duration: 521 
rate: 3072 	 duration: 500 
rate: 1888 	 duration: 502 
rate: 2658 	 duration: 501 
rate: 3712 	 duration: 501 
rate: 3650 	 duration: 503 
rate: 3619 	 duration: 504 
rate: 2738 	 duration: 517 
rate: 2276 	 duration: 506 
rate: 2203 	 duration: 501 
rate: 3692 	 duration: 507 
rate: 3411 	 duration: 503 
rate: 4046 	 duration: 513 
rate: 4320 	 duration: 500 
rate: 4030 	 duration: 521 
rate: 4440 	 duration: 500 
rate: 3456 	 duration: 500 
rate: 3134 	 duration: 513 
rate: 2467 	 duration: 501 
rate: 2175 	 duration: 513 
rate: 1972 	 duration: 511 
rate: 2447 	 duration: 510 
rate: 2385 	 duration: 503 
rate: 3421 	 duration: 505 
rate: 3449 	 duration: 501 
rate: 2677 	 duration: 511 
rate: 814 	 duration: 501 
rate: 2220 	 duration: 508 
rate: 3201 	 duration: 536 
rate: 2312 	 duration: 519 
rate: 2456 	 duration: 557 
rate: 2263 	 duration: 509 
rate: 2988 	 duration: 502 
rate: 3316 	 duration: 503 
rate: 5489 	 duration: 505 
rate: 6227 	 duration: 501 
rate: 2994 	 duration: 501 
rate: 2661 	 duration: 514 
rate: 3126 	 duration: 522 
rate: 4031 	 duration: 503 
rate: 4222 	 duration: 503 
rate: 4174 	 duration: 503 
rate: 3576 	 duration: 500 
rate: 3528 	 duration: 500 
rate: 3602 	 duration: 503 
rate: 3107 	 duration: 502 
rate: 4174 	 duration: 503 
rate: 3976 	 duration: 504 
rate: 4261 	 duration: 504 
rate: 3880 	 duration: 501 
rate: 3048 	 duration: 500 
rate: 4302 	 duration: 502 
rate: 4079 	 duration: 506 
rate: 3161 	 duration: 501 
rate: 3053 	 duration: 507 
rate: 2970 	 duration: 501 
rate: 3456 	 duration: 500 
rate: 3576 	 duration: 500 
rate: 4649 	 duration: 511 
rate: 4831 	 duration: 534 
rate: 4095 	 duration: 501 
rate: 3931 	 duration: 525 
rate: 4100 	 duration: 518 
rate: 4000 	 duration: 501 
rate: 4934 	 duration: 501 
rate: 4918 	 duration: 505 
rate: 5159 	 duration: 521 
rate: 5088 	 duration: 500 
rate: 6299 	 duration: 501 
rate: 5976 	 duration: 502 
